Feature,Importance,Std
CA_mark,6.9398702256678915,0.01767859749656083
MID_mark,1.6442609736549858,0.008041093247245156
previous_cgpa,0.6191888855944386,0.007882763830099698
backlog_count,0.046189229238048135,0.0006320459527746446
study_hours_per_week,0.04422509181422699,0.001786077446329448
semester,0.018458496516278622,0.0007751541269335205
attendance_percentage,0.015707557416961986,0.0014255761969956253
course_credits,0.013115030344367304,0.00017340501411135516
previous_sgpa,0.012587653991554445,0.0006296031533636683
assignment_completion_pct,0.010662134110657048,0.0009198806977266364
course_type,0.0006337818853721089,8.280268014504327e-05
branch,0.0005468270397586868,0.0003046216602729552
